name,organisation,type,start_date,end_date,description
KUGG ordförande,tf,functionary,2026-01-01,2028-12-31,
LATA,tf,group,2023-11-01,2024-12-31,
SmåFAN ordförande,tf,functionary,2023-11-01,2024-12-31,
Vice excursionsmästare,tf,functionary,2022-01-01,2022-12-31,
Historiklanseringsarbetsgruppens Ordförande,tf,functionary,2022-01-01,2022-12-31,
"HTK",tf,group,2022-01-01,2023-12-31, "Fungerade ordförande"
KEDJA,tf,group,2020-09-01,2022-05-31,
PhISO,tf,functionary,2021-01-01,2021-12-31,
DOMPPA,tf,group,2021-05-31,2021-12-31,
DOMPPA,tf,group,2022-01-01,2022-12-31,
JuBBE,tf,group,2020-09-01,2022-12-31,
HTK,tf,group,2020-01-01,2021-12-31,
FRACK,tf,group,2019-02-14,2019-03-21,
Fanvakt,tf,functionary,2018-05-01,2019-04-30,
Årsfestmarskalk,tf,functionary,2018-01-01,2018-12-31,
ArsK,tf,group,2018-01-01,2018-12-31,
Matematikgruppen,tf,group,2018-01-01,2018-12-31,
PhuxK,tf,group,2017-05-01,2018-04-30,
Phuxivator,tf,functionary,2017-05-01,2018-04-30,
TF Rekry,tf,group,2017-01-01,2017-12-31,
Matematikgruppen,tf,group,2017-01-01,2017-12-31,
"Styrelsen, Phuxmästare",tf,functionary,2017-01-01,2017-12-31,
IK,tf,group,2017-01-01,2017-12-31,
"Täffä AB, Lagermästare",tf,functionary,2016-06-01,2016-12-21,
PhuxK,tf,group,2016-06-01,2017-05-31,
Konk,tf,group,2016-01-01,2016-12-31,
Matematikgruppen,tf,group,2015-09-01,2015-12-31,
Konk,tf,group,2015-01-01,2015-12-31,
"Hako, Ekonomiansvarig",tf,group,2014-10-09,2015-04-30,
Matematikgruppen,tf,group,2014-09-01,2014-12-31,
Teekkarientunnustyöryhmä,teekkarius,group,2024-01-01,2025-12-31,
Museotoimikunta,ayy,group,2023-01-01,2023-12-31,
"AYY Edustajisto",ayy,functionary,2022-01-01,2023-12-31, "Polytekarna Varajäsen"
HuomTMK PJ,ayy,functionary,2022-01-01,2022-12-31,
Museotoimikunta,ayy,group,2022-01-01,2022-12-31,
LESG ICT Halloped,ayy,functionary,2021-01-01,2021-12-31,
Museotoimikunta,ayy,group,2021-01-01,2021-12-31,
HuomTMK PJ,ayy,functionary,2021-01-01,2021-12-31,
HuomTMK PJ,ayy,functionary,2020-01-01,2020-12-31, "Osa hallitusnakkia"
"AYYH, Yhteisövastaava",ayy,functionary,2020-01-01,2020-12-31, 
"AYY Edustajisto",ayy,functionary,2020-01-01,2021-12-31,"Polytekarna Varajäsen"
"Aava, Projektivastaava",ayy,functionary,2019-01-01,2019-12-31,
YVA,ayy,group,2019-01-01,2019-12-31,
"Linnanisäntä, Otakaari 20",ayy,functionary,2018-09-17,2019-07-31,
"Polyteekkarimuseo, muuttopäällikkö",ayy,functionary,2018-06-01,2019-08-01,
YVa,ayy,group,2018-01-01,2018-12-31,
TPTMK,ayy,group,2018-01-01,2018-12-31,
"AYY Edustajisto",ayy,functionary,2018-01-01,2019-12-31, "Polytekarna Varsinainen jäsen"
Museojaosto,ayy,group,2018-01-01,2020-12-31,
"Polyteekkarimuseo, Opas",ayy,functionary,2017-11-30,2023-12-31,
"STF Styrelse",stf,functionary,2024-01-01,2024-12-31,Patron
"Hankkijain Kalastaja (huom.)",hankkijat,functionary,2023-07-01,2025-12-31,
"STF Styrelse",stf,functionary,2023-01-01,2023-12-31,Utrikesminister
"Hankkijain Tasaussijoittaja (talous)",hankkijat,functionary,2020-01-01,2020-12-31,
"Polytekarna, kassör",polytekarna,functionary,2018-01-01,2019-12-31,
AYY:n kunniamerkki,ayy,decoration,2025-05-17,,
TF:s Hedersmärke i Silver,tf,decoration,2024-02-14,,
AYY:n Ansiomerkki,ayy,decoration,2023-05-13,,
Arwoisa,teekkarius,decoration,2022-11-15,,
"TF:s kamratskapstipendie (Stavans)",tf,decoration,2022-03-15,,
Stipendie för allmänt stöd,tf,decoration,2022-03-15,,
TF:s Förtjänsttecken,tf,decoration,2020-03-19,,
AYY:n yhteisömerkki,ayy,decoration,2019-05-13,,
AYY:n yhteisöstipendi,ayy,decoration,2019-01-01,,
Stipendie för Verksamhet som Phuxmästare,tf,decoration,2018-03-15,,
